Ticker,Cluster,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Month
ENJ-USD,0,2022-01-13,2.522788047790528,2.590009927749634,2.372347116470337,2.372347116470337,2.372347116470337,260090064,,2022-01
ENJ-USD,0,2022-01-14,2.372986078262329,2.4542999267578125,2.324881076812744,2.411379098892212,2.411379098892212,192615750,0.016452896859355137,2022-01
ENJ-USD,0,2022-01-15,2.4116430282592773,2.535140991210937,2.370439052581787,2.459670066833496,2.459670066833496,169239989,0.020026286187629694,2022-01
ENJ-USD,0,2022-01-16,2.4596738815307617,2.5346710681915283,2.445020914077759,2.506869077682495,2.506869077682495,162373293,0.019189163410750387,2022-01
ENJ-USD,0,2022-01-17,2.507101058959961,2.533339023590088,2.293065071105957,2.3255441188812256,2.3255441188812256,168043737,-0.07233124394709023,2022-01
ENJ-USD,0,2022-01-18,2.325448989868164,2.3473129272460938,2.2088770866394043,2.278902053833008,2.278902053833008,151696432,-0.020056409452535506,2022-01
ENJ-USD,0,2022-01-19,2.2789199352264404,2.3462278842926025,2.216193914413452,2.2244210243225098,2.2244210243225098,185262076,-0.023906700781134216,2022-01
ENJ-USD,0,2022-01-20,2.22449803352356,2.3512520790100098,2.1093790531158447,2.110054016113281,2.110054016113281,122237427,-0.05141428127081371,2022-01
ENJ-USD,0,2022-01-21,2.1110100746154785,2.1179840564727783,1.699368953704834,1.730170965194702,1.730170965194702,324541576,-0.18003475172560912,2022-01
ENJ-USD,0,2022-01-22,1.7301360368728638,1.7556500434875488,1.3778680562973022,1.4990849494934082,1.4990849494934082,323219329,-0.1335625324606513,2022-01
ENJ-USD,0,2022-01-23,1.5017470121383667,1.6791019439697266,1.498736023902893,1.6070319414138794,1.6070319414138794,230693987,0.07200858894417572,2022-01
ENJ-USD,0,2022-01-24,1.6071569919586182,1.6093790531158447,1.333171010017395,1.500648021697998,1.500648021697998,275427698,-0.06619900760795328,2022-01
ENJ-USD,0,2022-01-25,1.5007799863815308,1.5413039922714231,1.434211015701294,1.5329090356826782,1.5329090356826782,151978795,0.021498055185636744,2022-01
